paper,keywords,topics
An Inductive Logic Programming Approach to Statistical Relational Learning,programming:approach:inductive,Networking and Internet Architecture
Neural Generation of Textual Summaries from Knowledge Base Triples,base:summaries,Data Structures and Algorithms
Semantic Methods for Execution-level Business Process Modeling - Modeling Support Through Process Verification and Service Composition,modeling:support,Logic in Computer Science
Relationships between assumptions.,relationships,Computer Vision and Pattern Recognition
Invarianz der Parsingeigenschaft unter Grammatikmorphismen.,invarianz:grammatikmorphismen.,Information Theory
"Termination of rewriting - extensions, comparison and automatic generation of simplification orderings.","automatic:extensions,",Symbolic Computation
Un code pour les graphes planaires et ses applications.,et:graphes:pour,Multiagent Systems
Anwendungsspezifische Fuzzy-Clustermethoden.,fuzzy-clustermethoden.,Programming Languages
Universal routing strategies.,strategies.:routing,Digital Libraries
Messung empirischer Verteilungen der Zwischenankunftszeit bei Seitenwechselvorgängen.,seitenwechselvorgängen.:empirischer:verteilungen,Information Retrieval
FFT specific compilation in IBM blue gene.,compilation:fft:gene.,Logic in Computer Science
The complexity of simple subtyping systems.,simple:systems.:subtyping,Programming Languages
Projection-based strictness analysis - theoretical and practical aspects.,practical:theoretical:strictness,Multiagent Systems
Incremental partial deduction.,incremental:partial,Artificial Intelligence
Wissensbasierte Methoden zur effizienten Simulation fluidtechnischer Systeme.,simulation:wissensbasierte, Computational Geometry
Talking to the semantic web - natural language query interfaces for casual end-users.,interfaces:natural,Systems and Control
Evaluation of functional expressions by hypergraph rewriting.,hypergraph:rewriting.:evaluation,General Literature
An anytime approach to connectionist theory refinement - refining the topologies of knowledge-based neural networks.,anytime:refining,Computational Complexity
Temporal-logisches Programmieren.,temporal-logisches,Sound
Zellularautomaten zur Bearbeitung der Lokal-Global-Problematik.,zellularautomaten:bearbeitung,Graphics
Negation as failure in explanation-based generalization.,generalization.:negation:explanation-based,Computational Engineering Finance and Science
Synthese von zeitinvarianten Hardware-Modulen.,synthese:zeitinvarianten,Cryptography and Security
Automated design of neural network architecture for classification.,classification.:architecture:neural,Digital Libraries
Comparing reduction strategies in resource-conscious lambda calculi.,lambda:strategies:calculi.,Artificial Intelligence
Multimedia information system with automatic content retrieval.,system:content,Artificial Intelligence
Über die Anwendung selbstorganisierender Karten.,anwendung:selbstorganisierender,Cryptography and Security
Structure-Based Virtual Screening Using Index Technology.,technology.:using,Computer Science and Game Theory
Terminator II - stopping partial evaluatin of fully recursive programs.,partial:terminator:stopping,Multimedia
The support feature machine - an odyssey in high-dimensional spaces.,support:odyssey,Digital Libraries
A dynamic framework for subdivision surfaces.,surfaces.:subdivision,Computational Complexity
Flow analysis of typed higher-order programs.,typed:analysis,Logic in Computer Science
Effiziente Datenstrukturen und Algorithmen für ausgewählte mehrdimensionale Suchprobleme.,algorithmen:mehrdimensionale:effiziente,Performance
Distributed optimisation algorithms for network problems.,network:problems.:algorithms,Hardware Architecture
