Paper,Conference,Edition,Year
An Inductive Logic Programming Approach to Statistical Relational Learning,TSP ,4,2017
Neural Generation of Textual Summaries from Knowledge Base Triples,CSEIJ ,9,2018
Semantic Methods for Execution-level Business Process Modeling - Modeling Support Through Process Verification and Service Composition,Comunica2,5,2022
Relationships between assumptions.,IJSCMC ,18,2017
Invarianz der Parsingeigenschaft unter Grammatikmorphismen.,Asian Conference on Electrochemical Power Sources,14,2017
"Termination of rewriting - extensions, comparison and automatic generation of simplification orderings.",ADEIJ ,3,2018
Un code pour les graphes planaires et ses applications.,Asia-Pacific Regional Conference on Service-Learning,17,2021
Anwendungsspezifische Fuzzy-Clustermethoden.,"ACCC--Ei Compendex, Scopus ",18,2018
Universal routing strategies.,IJITCA ,18,2020
Messung empirischer Verteilungen der Zwischenankunftszeit bei Seitenwechselvorgängen.,CSITEC ,15,2021
FFT specific compilation in IBM blue gene.,IJPLA ,1,2023
The complexity of simple subtyping systems.,CSITEC ,14,2019
Projection-based strictness analysis - theoretical and practical aspects.,ArIT ,5,2018
Incremental partial deduction.,IJDKP ,4,2017
Wissensbasierte Methoden zur effizienten Simulation fluidtechnischer Systeme.,FCST ,4,2019
Talking to the semantic web - natural language query interfaces for casual end-users.,Association for Logic Language and Information,20,2019
Evaluation of functional expressions by hypergraph rewriting.,International Conference on Web Services,15,2021
An anytime approach to connectionist theory refinement - refining the topologies of knowledge-based neural networks.,ICCSEA ,13,2017
Temporal-logisches Programmieren.,EDU ,10,2023
Zellularautomaten zur Bearbeitung der Lokal-Global-Problematik.,IJSEA ,20,2023
Negation as failure in explanation-based generalization.,"IEEE--ICVR--Ei Compendex, Scopus ",19,2018
Synthese von zeitinvarianten Hardware-Modulen.,"CCAT--Ei, Scopus ",3,2017
Automated design of neural network architecture for classification.,CSEIT ,8,2023
Comparing reduction strategies in resource-conscious lambda calculi.,ADEIJ ,3,2023
Multimedia information system with automatic content retrieval.,CSITEC ,4,2020
Über die Anwendung selbstorganisierender Karten.,IJNSA ,15,2022
Structure-Based Virtual Screening Using Index Technology.,SAIM ,6,2019
Terminator II - stopping partial evaluatin of fully recursive programs.,DMA ,7,2022
The support feature machine - an odyssey in high-dimensional spaces.,DTMN ,3,2021
A dynamic framework for subdivision surfaces.,dsaai ,6,2021
Flow analysis of typed higher-order programs.,CD-MAKE ,8,2018
Effiziente Datenstrukturen und Algorithmen für ausgewählte mehrdimensionale Suchprobleme.,ITCON ,13,2019
Distributed optimisation algorithms for network problems.,"ACM--VRIP--EI, Scopus ",18,2018
Computer assisted planning for robotic radiosurgery.,European Conference on Information Systems,11,2023
"Schematic Maps on Demand - Design, Modeling and Visualization.",Asian Symposium on Medicinal Plants Spices and Other Natural Products,8,2023
Langages quasideterministes.,DMA ,11,2020
Analyse und Approximation von unstrukturierten Daten und Freiformflächen.,IJP2P ,3,2018
A combined parametric and nonparametric approach to time series analysis - motivated by coastal upwelling prediction.,DaMi ,11,2018
Algorithmische Konstruktionen von Gittern.,IJMIT ,16,2020
Monoides syntactiques et langages algebriques.,ARIN ,15,2018
Wissen und Wissensvermittlung im Kontext von internetbasierten intelligenten Lehr- und Lernumgebungen.,ICCS ,5,2018
Generalized complexity cores and levelability of intractable sets.,ARIN ,18,2021
Verfeinerung in der objektorientierten Programmkonstruktion.,MLAINLP ,19,2020
Unterstützung des Entwurfs konsistenzerhaltender Datenbankanwendungsprogramme.,IJITCA ,13,2019
Lineare Parallelrechner.,EH ,5,2021
RAPiD - ein Datenflußmodell zur Realisierung von UND-Parallelität und intelligentem Backtracking in Hornklausel-Programmen.,EasyChair,3,2023
Nonuniform complexity classes with sub-linear advice functions.,EDU ,4,2018
Graph reduction on shared-memory multiprocessors.,IEEE-Ei/Scopus-CTISC ,6,2023
