paper,author
A case study in distributed planning for autonomous cooperating agents.,Amritpal Singh Bhachu
A case study in distributed planning for autonomous cooperating agents.,Mohamed Medhat Gaber
A case study in distributed planning for autonomous cooperating agents.,Pietro Coli
A case study in distributed planning for autonomous cooperating agents.,James P. M. Ntozi
A case study in distributed planning for autonomous cooperating agents.,André Frank Krause
A combined parametric and nonparametric approach to time series analysis - motivated by coastal upwelling prediction.,Amritpal Singh Bhachu
A combined parametric and nonparametric approach to time series analysis - motivated by coastal upwelling prediction.,Mohamed Medhat Gaber
A combined parametric and nonparametric approach to time series analysis - motivated by coastal upwelling prediction.,Pietro Coli
A combined parametric and nonparametric approach to time series analysis - motivated by coastal upwelling prediction.,James P. M. Ntozi
A combined parametric and nonparametric approach to time series analysis - motivated by coastal upwelling prediction.,André Frank Krause
A connectionist approach for learning search-control heuristics for automated deduction systems.,Amritpal Singh Bhachu
A connectionist approach for learning search-control heuristics for automated deduction systems.,Mohamed Medhat Gaber
A connectionist approach for learning search-control heuristics for automated deduction systems.,Pietro Coli
A connectionist approach for learning search-control heuristics for automated deduction systems.,James P. M. Ntozi
A dynamic framework for subdivision surfaces.,Amritpal Singh Bhachu
A dynamic framework for subdivision surfaces.,Mohamed Medhat Gaber
A dynamic framework for subdivision surfaces.,Pietro Coli
A dynamic framework for subdivision surfaces.,James P. M. Ntozi
A dynamic framework for subdivision surfaces.,André Frank Krause
A framework for planning with incrementally created graphs in attributed problem spaces.,Amritpal Singh Bhachu
A framework for planning with incrementally created graphs in attributed problem spaces.,Mohamed Medhat Gaber
A framework for planning with incrementally created graphs in attributed problem spaces.,Pietro Coli
A framework for planning with incrementally created graphs in attributed problem spaces.,James P. M. Ntozi
A graph-based appproach to resolution in temporal logic.,Amritpal Singh Bhachu
A graph-based appproach to resolution in temporal logic.,Mohamed Medhat Gaber
A graph-based appproach to resolution in temporal logic.,Pietro Coli
A graphical retargetable parallel programming environment and its efficient implementation.,Amritpal Singh Bhachu
A graphical retargetable parallel programming environment and its efficient implementation.,Mohamed Medhat Gaber
A graphical retargetable parallel programming environment and its efficient implementation.,Pietro Coli
A graphical retargetable parallel programming environment and its efficient implementation.,James P. M. Ntozi
A massively parallel numerical ordinary differential equation solver.,Amritpal Singh Bhachu
A massively parallel numerical ordinary differential equation solver.,Mohamed Medhat Gaber
A massively parallel numerical ordinary differential equation solver.,Pietro Coli
A massively parallel numerical ordinary differential equation solver.,James P. M. Ntozi
A massively parallel numerical ordinary differential equation solver.,André Frank Krause
A modular and extensible network storage architecture.,Amritpal Singh Bhachu
A modular and extensible network storage architecture.,Mohamed Medhat Gaber
A modular and extensible network storage architecture.,Pietro Coli
A modular and extensible network storage architecture.,James P. M. Ntozi
A modular and extensible network storage architecture.,André Frank Krause
A proof system for a sequential object-based language.,Amritpal Singh Bhachu
A proof system for a sequential object-based language.,Mohamed Medhat Gaber
A proof system for a sequential object-based language.,Pietro Coli
A proof system for a sequential object-based language.,James P. M. Ntozi
A proof system for a sequential object-based language.,André Frank Krause
A rate allocation protocol using competitive pricing for improving performance of multicast sessions.,Amritpal Singh Bhachu
A rate allocation protocol using competitive pricing for improving performance of multicast sessions.,Mohamed Medhat Gaber
A rate allocation protocol using competitive pricing for improving performance of multicast sessions.,Pietro Coli
A rate allocation protocol using competitive pricing for improving performance of multicast sessions.,James P. M. Ntozi
A rate allocation protocol using competitive pricing for improving performance of multicast sessions.,André Frank Krause
A solution for the semantic unification problem to reuse knowledge-based systems.,Amritpal Singh Bhachu
A solution for the semantic unification problem to reuse knowledge-based systems.,Mohamed Medhat Gaber
A solution for the semantic unification problem to reuse knowledge-based systems.,Pietro Coli
A solution for the semantic unification problem to reuse knowledge-based systems.,James P. M. Ntozi
A solution for the semantic unification problem to reuse knowledge-based systems.,André Frank Krause
A structural approach to diophantine definability.,Amritpal Singh Bhachu
A structural approach to diophantine definability.,Mohamed Medhat Gaber
A structural approach to diophantine definability.,Pietro Coli
A structural approach to diophantine definability.,James P. M. Ntozi
A structural approach to diophantine definability.,André Frank Krause
A tactic-based inductive theorem prover for data types with partial operations.,Amritpal Singh Bhachu
A tactic-based inductive theorem prover for data types with partial operations.,Mohamed Medhat Gaber
A tactic-based inductive theorem prover for data types with partial operations.,Pietro Coli
A tactic-based inductive theorem prover for data types with partial operations.,James P. M. Ntozi
A temporal reasoning and abstraction framework for model-based diagnosis systems.,Amritpal Singh Bhachu
A temporal reasoning and abstraction framework for model-based diagnosis systems.,Mohamed Medhat Gaber
A temporal reasoning and abstraction framework for model-based diagnosis systems.,Pietro Coli
A transformational approach to formal digital system design.,Amritpal Singh Bhachu
A transformational approach to formal digital system design.,Mohamed Medhat Gaber
A transformational approach to formal digital system design.,Pietro Coli
ALCP - Ein hybrider Ansatz zur Modellierung von Unsicherheit in terminologischen Logiken.,Amritpal Singh Bhachu
ALCP - Ein hybrider Ansatz zur Modellierung von Unsicherheit in terminologischen Logiken.,Mohamed Medhat Gaber
ALCP - Ein hybrider Ansatz zur Modellierung von Unsicherheit in terminologischen Logiken.,Pietro Coli
ALCP - Ein hybrider Ansatz zur Modellierung von Unsicherheit in terminologischen Logiken.,James P. M. Ntozi
Absolute Lokalisation mobiler Roboter durch Codierung der Einsatzumgebung.,Amritpal Singh Bhachu
Absolute Lokalisation mobiler Roboter durch Codierung der Einsatzumgebung.,Mohamed Medhat Gaber
Absolute Lokalisation mobiler Roboter durch Codierung der Einsatzumgebung.,Pietro Coli
Action-based collaboration analysis for group learning.,Amritpal Singh Bhachu
Action-based collaboration analysis for group learning.,Mohamed Medhat Gaber
Action-based collaboration analysis for group learning.,Pietro Coli
Action-based collaboration analysis for group learning.,James P. M. Ntozi
Adaption der Topologie von Kohonen-Karten durch genetische Algorithmen.,Amritpal Singh Bhachu
